date,total_bgc_profiles,dmqc_bgc_profiles,percent_dmqc,adjusted_doxy_profiles,percent_adjusted,eligible_profiles
2023-06-08,6308,824,13.06277742549144,,,
2023-06-09,6313,824,13.052431490575003,,,
2023-06-10,6315,824,13.048297703879651,,,
2023-06-11,6317,824,13.044166534747507,,,
2023-06-12,6319,824,13.040037980693148,,,
2023-06-13,6321,824,13.035912039234299,,,
2023-06-14,6352,824,12.972292191435768,,,
2023-06-15,6352,824,12.972292191435768,,,
2023-06-16,6357,824,12.962089035708667,,,
2023-06-17,6361,824,12.953938060053451,,,
2023-06-18,6361,824,12.953938060053451,,,
2023-06-19,6368,824,12.93969849246231,,,
2023-06-20,6370,824,12.93563579277865,,,
2023-06-21,6374,824,12.927518042045811,,,
2023-06-22,6381,824,12.9133364676383,,,
2023-06-23,6381,824,12.9133364676383,,,
2023-06-24,6387,824,12.901205573821825,,,
2023-06-25,6387,824,12.901205573821825,,,
2023-06-26,6387,824,12.901205573821825,,,
2023-06-27,6392,824,12.891113892365457,,,
2023-06-28,6392,824,12.891113892365457,,,
2023-06-29,6393,824,12.889097450336305,,,
2023-06-30,6396,824,12.883051907442152,,,
2023-07-01,6399,824,12.877012033130177,,,
2023-07-02,6404,824,12.866958151155528,,,
2023-07-03,6404,824,12.866958151155528,,,
2023-07-04,6407,824,12.860933354143905,,,
2023-07-05,6407,824,12.860933354143905,,,
2023-07-06,6407,824,12.860933354143905,,,
2023-07-07,6419,824,12.836890481383392,,,
2023-07-08,6421,824,12.832892072885844,,,
2023-07-09,6428,824,12.81891723708774,,,
2023-07-10,6430,824,12.814930015552099,,,
2023-07-11,6430,824,12.814930015552099,,,
2023-07-12,6437,824,12.800994251980736,,,
2023-07-13,6438,824,12.799005902454178,,,
2023-07-14,6442,824,12.791058677429369,,,
2023-07-15,6442,824,12.791058677429369,,,
2023-07-16,6442,824,12.791058677429369,,,
2023-07-17,6451,824,12.77321345527825,,,
2023-07-18,6455,824,12.765298218435321,,,
2023-07-19,6464,824,12.747524752475247,,,
2023-07-20,6468,824,12.739641311069882,,,
2023-07-21,6512,824,12.653562653562654,,,
2023-07-22,6520,824,12.63803680981595,,,
2023-07-23,6521,824,12.636098757859225,,,
2023-07-24,6525,824,12.628352490421456,,,
2023-07-25,6525,824,12.628352490421456,,,
2023-07-26,6626,824,12.435858738303653,,,
2023-07-27,6635,824,12.418990203466466,,,
2023-07-28,6637,824,12.415247852945608,,,
2023-07-29,6643,824,12.404034321842541,,,
2023-07-30,6647,824,12.396569881149391,,,
2023-07-31,6651,824,12.389114418884379,,,
2023-08-01,6656,824,12.379807692307692,,,
2023-08-02,6659,824,12.374230364919658,,,
2023-08-03,6665,824,12.363090772693173,,,
2023-08-04,6665,824,12.363090772693173,,,
2023-08-05,6670,824,12.353823088455773,,,
2023-08-06,6679,824,12.337176223985626,,,
2023-08-07,6681,824,12.333483011525221,,,
2023-08-08,6686,824,12.32425964702363,,,
2023-08-09,6691,824,12.315050067254521,,,
2023-08-10,6695,824,12.307692307692308,,,
2023-08-11,6700,824,12.298507462686567,,,
2023-08-12,6703,824,12.293003132925556,,,
2023-08-13,6709,824,12.282009241317633,,,
2023-08-14,6713,824,12.274690898257113,,,
2023-08-15,6714,824,12.272862675007447,,,
2023-08-16,6723,824,12.256433139967276,,,
2023-08-17,6725,824,12.25278810408922,,,
2023-08-18,6731,824,12.241865993165948,,,
2023-08-19,6738,824,12.229148115167705,,,
2023-08-20,6742,824,12.221892613467814,,,
2023-08-21,6745,824,12.216456634544107,,,
2023-08-22,6746,1056,15.65372072339164,,,
2023-08-23,6749,1056,15.646762483330864,,,
2023-08-24,6756,1056,15.630550621669627,,,
2023-08-25,6762,1056,15.616681455190772,,,
2023-08-26,6770,1056,15.598227474150665,,,
2023-08-27,6774,1056,15.589016829052259,,,
2023-08-28,6777,1056,15.582115980522355,,,
2023-08-29,6782,1056,15.570628133294013,,,
2023-08-30,6787,1056,15.559157212317666,,,
2023-08-31,6790,1056,15.552282768777614,,,
2023-09-01,6794,1056,15.543126287901089,,,
2023-09-02,6800,1056,15.529411764705882,,,
2023-09-03,6801,1056,15.52712836347596,,,
2023-09-04,6807,1056,15.513442044953724,,,
2023-09-05,6813,1056,15.499779832672832,,,
2023-09-06,6819,1056,15.48614166300044,,,
2023-09-07,6821,1056,15.481600938278845,,,
2023-09-08,6825,1056,15.472527472527473,,,
2023-09-09,6830,1056,15.461200585651538,,,
2023-09-10,6835,1056,15.44989027066569,,,
2023-09-11,6839,1056,15.440853926012576,,,
2023-09-12,6847,1056,15.422812910763838,,,
2023-09-13,6849,1056,15.418309242225142,,,
2023-09-14,6855,1056,15.404814004376368,,,
2023-09-15,6861,1056,15.391342369916922,,,
2023-09-16,6865,1056,15.382374362709395,,,
2023-09-17,6869,1056,15.373416800116466,,,
2023-09-18,6871,1056,15.368941929850095,,,
2023-09-19,6875,1056,15.36,,,
2023-09-20,6878,1056,15.353300378016865,,,
2023-09-21,6881,1056,15.346606597878216,,,
2023-09-22,6885,1056,15.337690631808279,,,
2023-09-23,6887,1056,15.333236532597647,,,
2023-09-24,6893,1056,15.319889743217757,,,
2023-09-25,6895,1056,15.315445975344453,,,
2023-09-26,6899,1056,15.30656616901,,,
2023-09-27,6903,1056,15.297696653628858,,,
2023-09-28,6905,1056,15.293265749456916,,,
2023-09-29,6909,1056,15.284411636995223,,,
2023-09-30,6915,1056,15.271149674620391,,,
2023-10-01,6916,1056,15.268941584731058,,,
2023-10-02,6925,1056,15.249097472924188,,,
2023-10-03,6925,1056,15.249097472924188,,,
2023-10-04,6934,1056,15.229304874531294,,,
2023-10-05,6944,1056,15.2073732718894,,,
2023-10-06,6948,1056,15.198618307426598,,,
2023-10-07,6969,1056,15.152819629789066,,,
2023-10-08,6972,1056,15.146299483648882,,,
2023-10-09,6976,1056,15.137614678899082,,,
2023-10-10,6983,1056,15.12244021194329,,,
2023-10-11,6985,1056,15.118110236220472,,,
2023-10-12,6992,1056,15.102974828375286,,,
2023-10-13,6995,1056,15.09649749821301,,,
2023-10-14,6997,1056,15.09218236387023,,,
2023-10-15,7008,1056,15.068493150684931,,,
2023-10-17,7020,1056,15.042735042735043,,,
2023-10-18,7022,1056,15.038450583879237,,,
2023-10-19,7029,1056,15.023474178403756,,,
2023-10-20,7034,1056,15.012794995735002,,,
2023-10-21,7035,1056,15.010660980810234,,,
2023-10-22,7043,1056,14.99361067726821,,,
2023-10-23,7046,1056,14.987226795344876,,,
2023-10-24,7048,1056,14.982973893303065,,,
2023-10-25,7059,1056,14.959626009349765,,,
2023-10-26,7060,1056,14.957507082152974,,,
2023-10-27,7071,1056,14.934238438693255,,,
2023-10-28,7072,1056,14.93212669683258,,,
2023-10-29,7077,1056,14.921576939381094,,,
2023-10-30,7083,1056,14.90893689114782,,,
2023-10-31,7087,1056,14.90052208268661,,,
2023-11-03,7100,1056,15.11161991986262,2352,33.657698912421296,6988
2023-11-04,7106,1056,15.098655990849299,2352,33.62882470689162,6994
2023-11-05,7111,1056,15.08786969567081,2352,33.60480068581226,6999
2023-11-06,7120,1056,15.068493150684931,2352,33.56164383561644,7008
2023-11-07,7123,1056,15.062045357295679,2352,33.54728284124946,7011
2023-11-08,7127,1056,15.053456878118318,2352,33.52815395580898,7015
2023-11-09,7134,1056,15.038450583879237,2352,33.49473084591285,7022
2023-11-10,7138,1056,15.029888983774551,2352,33.475661827497866,7026
